"NO","age","gender","edu","FD1","FD5","FD9","FD13","FD17","SD2","SD6","SD10","SD14","SD18","SD22","SD24","UP3","UP7","UP11","UP15","UP19","UP20","UP25","UP27","FW4","FW8","FW12","FW16","FW21","FW23","FW26","IPC1","IPC2","IPC3","IPC4","IPC5","IPC6","IPC7","IPC8","IPC9","IPC10","IPC11","IPC12","IPC13","IPC14","IPC15","IPC16","IPC17","IPC18","IPC19","IPC20","IPC21","IPC22","IPC23","IPC24","BFI_A1","BFI_A2","BFI_A3","BFI_A4","BFI_A5","BFI_A6","BFI_A7","BFI_A8","BFI_A9","BFI_C1","BFI_C2","BFI_C3","BFI_C4","BFI_C5","BFI_C6","BFI_C7","BFI_C8","BFI_C9","BFI_N1","BFI_N2","BFI_N3","BFI_N4","BFI_N5","BFI_N6","BFI_N7","BFI_N8","BFI_O1","BFI_O2","BFI_O3","BFI_O4","BFI_O5","BFI_O6","BFI_O7","BFI_O8","BFI_O9","BFI_O10","BFI_E1","BFI_E2","BFI_E3","BFI_E4","BFI_E5","BFI_E6","BFI_E7","BFI_E8"
2,20,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,22,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,20,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,19,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,19,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,19,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,19,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,18,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,19,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,19,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,19,2,5,2,1,2,1,4,3,3,2,2,4,4,4,2,5,4,4,4,4,3,2,4,4,4,5,4,4,3,1,1,1,1,-3,-2,-2,-2,1,1,-3,-2,1,-2,-2,-2,1,-3,1,1,1,1,1,-2,5,4,3,3,3,2,4,3,3,3,4,3,2,3,2,4,3,2,4,4,4,4,3,2,3,3,3,3,3,4,3,2,3,3,5,3,4,3,4,4,4,3,2,2
2,19,2,5,2,2,2,2,2,4,2,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,1,-3,-3,-2,1,1,-3,3,3,-2,-3,-3,1,1,-3,-3,1,-3,1,1,1,1,-2,4,3,3,3,3,2,2,3,3,3,3,3,3,3,2,5,3,3,3,4,4,4,4,3,4,2,2,2,3,3,3,1,2,3,4,4,3,2,3,3,3,2,4,4
2,20,2,5,2,2,2,2,4,4,2,3,3,4,2,2,2,3,3,4,4,3,2,3,3,4,4,4,2,4,4,1,1,2,1,-3,1,1,2,1,1,2,1,2,-3,2,2,2,-3,1,1,2,2,1,-3,4,4,3,3,4,2,2,4,3,4,2,4,4,4,4,4,4,3,4,4,4,3,4,3,2,2,3,2,3,3,3,2,2,3,4,4,3,2,4,3,2,4,4,4
2,20,2,5,3,2,3,3,4,3,2,3,3,4,4,4,3,4,4,4,4,4,2,4,3,4,4,4,3,4,3,1,1,1,1,1,2,-3,2,-3,-3,-3,-3,1,-3,1,1,1,-3,-3,-3,2,-3,1,-3,4,4,4,4,5,4,3,3,2,3,4,4,4,4,4,4,4,2,5,5,3,4,5,2,3,3,3,4,3,4,5,2,4,5,3,2,3,3,4,4,3,4,5,3
2,20,2,4,2,2,2,2,4,2,2,2,2,4,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,-3,-2,-3,1,-2,-3,2,2,-2,1,1,-2,-1,-3,-3,-3,1,1,2,-3,1,-3,4,4,4,4,4,2,3,3,2,4,3,3,3,5,4,4,4,2,4,4,4,4,4,2,2,2,4,3,3,2,3,2,2,4,4,4,2,3,2,2,4,5,4,4
2,21,2,5,4,3,3,2,3,2,2,2,4,2,4,3,4,4,4,5,4,4,2,5,4,4,2,5,4,5,4,-3,3,-2,-3,-2,1,-1,-3,2,-2,-2,-3,1,1,-2,-3,-2,-2,-3,1,1,1,1,-2,3,4,3,3,4,2,1,3,3,2,2,2,3,2,4,5,5,3,5,2,5,4,5,1,2,2,2,2,2,2,3,1,2,2,4,4,3,3,2,2,2,2,4,3
2,22,2,5,3,2,3,2,3,4,2,2,2,4,5,3,4,4,5,5,4,5,2,5,4,5,5,5,4,5,2,-3,1,1,2,1,1,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,-2,5,4,4,4,4,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,3,3,3,4,3,4,2,3,4,4,3,3,3,4,4,4,5,4,5
2,19,2,5,2,1,3,1,4,4,4,1,3,5,5,3,5,3,3,5,4,2,3,4,3,5,4,5,4,4,5,1,-3,-1,-3,-3,2,1,-3,2,1,-1,1,2,-2,-1,-2,-2,2,1,-3,3,-1,2,-2,5,3,4,4,4,3,1,4,2,5,3,4,3,4,2,3,3,3,1,4,3,4,4,3,4,3,3,4,3,4,5,3,3,4,3,2,2,2,2,3,3,4,4,4
2,22,2,5,2,2,3,2,4,2,2,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,4,4,3,-3,1,-3,-2,-2,-3,-2,-3,1,-3,-2,-2,1,1,-2,1,1,-2,-2,1,1,-2,1,-2,4,4,4,4,4,2,2,5,3,3,3,2,3,3,5,4,4,4,4,4,5,4,4,3,2,4,2,2,2,3,4,3,4,3,4,3,2,2,2,2,3,3,4,4
2,20,1,5,2,2,2,2,2,3,2,4,4,4,3,4,2,4,4,4,2,2,2,4,2,2,2,4,2,4,3,1,-3,1,-3,1,-3,-3,-3,1,1,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,-3,1,-3,4,3,4,4,4,2,3,2,2,4,4,4,4,4,2,3,2,2,2,2,2,4,4,4,4,4,3,3,4,3,4,2,3,4,2,3,3,4,3,3,3,4,4,3
2,20,1,5,2,2,3,4,4,3,3,3,3,3,4,4,3,3,3,3,3,3,2,3,3,2,3,2,4,4,4,2,2,-3,-2,-3,1,-3,-3,-3,1,-2,-3,1,-3,-3,-3,-1,-3,2,-1,2,2,2,1,4,4,4,3,4,2,2,2,4,2,3,3,4,3,2,4,4,3,4,4,2,4,3,3,3,3,3,3,3,3,4,2,3,4,3,2,3,3,3,4,3,4,4,2
2,21,1,5,4,3,5,3,3,3,4,2,4,5,3,3,4,4,2,5,3,3,4,5,4,5,4,3,4,4,3,2,2,1,2,1,2,1,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,1,4,4,3,3,4,4,2,3,4,3,3,3,4,4,3,3,3,3,4,3,4,3,3,2,3,3,4,2,3,3,4,3,4,4,2,4,4,3,4,4,3,4,3,2
2,21,1,5,3,3,3,3,4,2,4,3,4,5,4,5,3,5,4,4,4,4,3,5,2,5,4,5,4,4,3,1,1,1,1,3,-3,-3,1,-3,1,-3,1,1,-3,-3,1,-3,-3,1,1,1,-3,1,1,4,4,5,5,4,4,2,2,3,5,3,5,4,5,5,3,4,3,3,3,3,4,5,2,2,5,3,3,4,2,4,3,3,5,4,2,3,1,2,4,3,4,5,4
2,20,1,5,3,1,4,1,4,4,3,3,2,3,3,4,2,3,4,2,2,3,2,2,3,5,5,5,3,5,3,2,-3,-2,2,2,1,-3,-2,1,2,-2,-2,-3,1,-2,1,-3,-2,1,-3,2,-2,2,-2,4,3,4,4,3,2,3,3,4,4,4,3,4,4,4,4,3,2,4,4,3,4,4,4,2,3,4,3,2,4,3,2,3,4,4,3,4,4,3,4,4,2,4,2
2,18,1,4,4,4,4,4,5,5,2,3,4,5,5,4,4,4,5,4,3,2,2,3,3,3,3,3,3,4,1,1,2,2,-3,-2,2,1,-3,2,3,1,-2,1,2,-2,2,-1,-3,2,-3,2,-3,1,-2,5,2,5,5,4,3,1,5,2,2,4,3,2,2,4,4,4,4,4,5,3,5,4,3,4,3,2,3,1,3,5,1,3,4,5,5,2,1,2,3,4,4,4,5
2,19,1,5,3,2,3,3,4,4,3,2,2,4,4,4,4,4,3,4,3,3,3,2,3,5,4,5,4,4,3,2,-3,-3,-3,-2,-3,1,3,3,2,-3,1,-3,-2,2,2,1,-3,-3,-2,3,1,1,-1,5,4,5,3,4,3,2,2,3,3,2,4,5,4,3,3,3,4,4,4,3,3,4,4,3,4,5,5,4,5,4,4,5,4,3,2,4,5,5,5,4,2,3,2
2,19,2,5,3,1,3,1,5,4,2,3,2,4,4,3,3,2,4,4,4,4,2,1,2,5,4,5,4,5,4,1,-3,-3,-1,2,3,-2,-3,-1,1,2,2,2,2,-2,1,-3,2,1,1,3,1,2,-1,5,4,4,3,3,4,3,4,2,5,4,3,5,5,4,4,2,2,4,5,4,4,5,3,3,3,3,3,4,5,3,2,4,4,4,3,4,3,2,4,4,5,5,5
2,20,2,5,4,2,3,3,4,5,4,4,4,4,4,4,4,5,4,5,4,4,3,4,5,4,5,5,4,5,3,2,3,2,2,3,2,2,1,3,2,-2,2,1,1,-3,1,-2,1,1,1,3,1,1,-3,5,5,4,5,5,2,2,1,3,4,4,5,4,5,4,4,3,1,4,4,4,5,5,2,3,4,3,4,4,4,5,3,3,4,4,2,4,3,4,4,4,5,5,4
2,21,2,5,3,2,3,2,4,5,2,1,4,4,5,2,2,4,5,2,4,4,2,4,2,4,4,5,3,5,4,2,1,-2,-3,1,1,1,-2,1,1,-2,1,1,-1,-1,-1,1,-3,2,2,2,-2,2,-1,5,4,3,4,5,2,2,4,1,2,2,4,4,2,2,4,5,2,2,4,4,4,4,3,4,2,2,2,5,2,4,4,4,4,3,2,2,4,4,2,2,4,4,4
2,21,2,5,3,1,3,3,4,2,3,3,3,4,3,3,4,2,3,4,2,2,3,3,2,2,2,4,4,4,3,1,-3,-3,1,1,-3,-3,2,2,2,-3,-3,1,1,1,-3,1,-3,1,-3,1,1,1,-3,4,4,3,3,4,4,3,2,4,3,3,3,3,3,2,4,4,2,3,4,2,4,2,3,3,4,3,3,2,3,4,2,4,4,3,4,4,4,4,3,4,2,4,3
2,20,2,5,2,3,4,2,4,4,1,4,3,4,4,4,4,5,4,4,3,5,2,4,2,1,2,4,3,4,4,1,-3,1,2,2,2,1,1,1,1,1,-3,2,-3,1,1,1,-3,-3,-3,1,-3,1,-3,5,2,3,5,5,2,1,5,4,3,2,4,4,4,2,4,3,3,2,3,2,3,4,3,4,3,2,2,3,4,4,3,2,3,3,4,2,2,4,3,4,4,4,3
2,21,2,5,3,1,1,1,3,4,1,1,1,4,1,1,2,4,1,1,1,3,1,1,1,4,4,4,1,4,5,1,-3,-2,2,1,-3,-2,-2,-3,1,-2,-2,-2,-2,-2,-2,-1,-2,2,-2,2,-3,2,-1,5,2,3,4,5,2,2,3,2,3,3,4,4,4,3,4,4,3,3,4,2,4,3,4,3,3,3,4,3,5,4,3,3,2,2,1,3,4,3,3,3,3,3,4
2,23,2,5,2,2,2,2,4,4,3,2,4,4,2,2,4,4,4,4,4,3,2,4,4,4,4,4,4,4,4,1,1,-3,1,-3,2,2,2,2,2,-3,1,1,-3,-3,-3,-3,-3,-3,-3,2,-3,2,-3,4,4,4,3,4,3,2,2,4,3,3,3,4,3,4,4,4,3,4,4,4,4,4,3,2,3,3,4,3,3,3,3,2,4,2,2,4,4,3,4,4,2,5,2
2,21,2,5,2,2,2,2,2,2,2,2,2,4,3,2,2,2,4,4,2,2,2,4,2,4,4,4,3,4,4,1,-3,-3,-2,2,-2,-2,-2,2,2,-3,1,2,-2,-2,-2,-2,1,2,-2,2,-2,2,-2,2,4,4,4,4,2,4,2,4,4,3,4,4,4,2,4,2,3,4,4,2,4,4,4,4,4,4,4,4,4,5,4,4,4,4,1,4,4,4,4,4,3,4,2
2,19,2,5,2,3,3,3,4,2,3,3,3,4,4,4,2,4,4,4,3,3,3,3,2,4,2,3,3,4,4,1,1,1,-3,-3,1,-3,1,-3,-3,-3,-3,1,1,-3,-3,-3,-3,-3,-3,1,-3,1,-3,4,4,3,4,4,3,3,3,3,3,3,2,4,4,4,4,4,3,4,4,4,4,4,2,2,3,2,2,4,2,4,2,3,4,4,2,2,2,2,2,2,4,4,4
2,19,2,5,4,2,4,2,4,5,1,2,2,4,2,4,4,4,5,5,4,4,4,5,2,4,5,3,2,3,4,3,1,2,-3,3,1,1,2,3,3,1,1,1,-2,-1,1,1,2,2,-3,3,1,2,1,5,5,5,5,4,2,2,4,3,5,5,5,5,5,4,4,1,2,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,4,5
2,19,2,5,4,2,4,1,4,4,2,4,1,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,3,1,-1,-2,1,-3,-3,-2,-2,1,1,-2,-1,-3,-3,-2,1,1,1,1,-2,2,-2,1,1,4,4,3,3,2,4,2,2,4,4,3,4,4,3,4,4,4,2,4,4,4,4,4,3,3,2,3,1,3,3,4,3,4,3,4,1,5,4,4,4,5,3,4,2
2,19,1,5,2,1,2,2,4,4,2,2,3,2,4,4,3,4,4,4,3,3,2,2,2,2,4,2,4,2,2,3,-3,-3,1,-3,-2,-3,-1,-2,1,-1,1,-3,1,-1,1,-1,-3,1,-3,1,-1,1,-1,4,3,4,5,4,2,2,2,1,4,3,2,4,4,2,4,4,3,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,2,1,3,3,2,4,4,4,2,4
2,18,1,5,1,1,1,1,5,1,1,1,1,4,3,4,1,5,4,5,3,3,1,5,5,4,5,5,2,4,5,2,-3,2,2,2,-2,-2,-3,1,-1,1,-2,-2,-3,-2,1,1,1,1,2,3,2,3,-2,3,4,3,3,3,2,3,1,1,2,4,5,4,3,3,4,2,1,4,4,1,5,2,4,2,5,3,3,4,3,4,2,4,3,3,2,5,4,4,4,4,1,1,3
2,20,1,5,2,1,2,1,2,2,3,2,2,4,4,3,2,3,2,2,2,3,2,4,2,4,5,4,4,4,4,3,-3,-3,2,-3,-3,-3,-3,3,2,-3,-2,-3,-3,-3,-3,-2,2,1,-2,3,-3,2,-3,5,4,4,5,2,2,2,4,2,4,4,3,4,4,3,4,4,2,4,5,4,4,4,3,4,4,5,5,3,5,5,3,4,5,3,2,3,3,4,5,3,4,5,4
2,20,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,25,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,21,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,28,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,22,2,5,3,3,3,2,4,2,1,3,1,4,5,4,5,5,4,5,2,3,3,5,4,4,3,3,5,4,4,1,-3,-3,2,-3,-3,2,-3,2,2,-3,2,-3,2,-3,-3,-2,1,1,2,2,-3,2,-3,5,3,3,5,3,4,1,4,2,4,3,3,5,3,4,4,4,3,3,4,2,4,3,2,3,3,2,4,4,4,5,2,3,5,5,4,2,3,2,3,3,4,4,5
2,19,1,5,2,1,2,2,4,2,2,2,1,4,1,2,2,3,3,1,2,4,1,2,2,2,2,2,3,4,5,-3,1,1,-3,-3,2,-2,3,-3,2,2,2,3,1,3,2,2,-1,1,-3,2,2,1,-2,4,2,2,4,4,2,1,4,2,4,3,4,4,3,4,5,5,4,5,4,5,5,5,3,2,2,3,2,4,3,4,2,4,5,4,2,1,2,4,3,3,4,4,5
2,21,1,5,3,2,3,3,3,4,2,2,4,4,4,4,3,4,4,3,3,4,2,4,2,2,1,4,2,4,4,1,-2,-2,2,-1,1,-3,1,2,1,-3,-3,2,-3,1,-3,1,-2,1,-3,2,1,1,-3,3,2,3,3,3,3,3,4,3,3,1,2,2,2,5,4,4,3,4,4,4,5,4,2,2,2,2,2,3,2,5,1,2,3,4,4,2,2,2,2,2,4,4,4
2,19,2,5,3,2,2,2,2,2,3,2,4,4,3,3,2,4,4,4,3,4,3,4,2,4,4,3,3,4,3,1,1,-3,-3,-3,1,1,-3,1,-3,-3,1,1,-3,-3,-3,-3,-3,-3,1,1,-3,1,-3,4,4,4,4,4,3,4,4,4,4,3,3,4,4,3,4,4,5,4,4,4,4,3,4,3,2,3,3,3,3,4,3,3,4,3,4,4,3,3,4,3,2,3,3
2,20,2,5,3,2,4,2,4,3,2,2,3,4,4,4,3,4,3,4,4,4,2,3,2,3,3,2,4,2,3,1,-3,1,1,-3,1,-3,1,1,1,1,-3,-3,-3,1,1,1,-3,1,1,2,1,1,-3,4,3,4,4,4,2,2,2,2,3,4,2,4,3,3,4,4,3,4,4,4,3,4,2,2,3,3,3,3,4,3,2,3,3,4,4,4,3,3,4,4,2,3,2
2,20,2,5,3,2,4,2,4,4,2,2,4,4,4,4,2,4,4,4,2,4,2,4,2,2,2,3,2,4,4,1,1,2,1,-3,1,2,1,2,1,1,1,1,2,-3,1,-3,-2,1,1,2,1,2,-2,4,4,4,4,5,2,2,4,2,3,4,3,3,3,4,5,3,5,4,5,4,4,5,3,2,3,3,4,5,4,4,3,2,5,3,2,4,2,2,3,5,4,5,5
2,23,2,5,4,2,4,2,4,4,2,4,3,4,3,2,2,4,4,4,4,3,2,4,4,2,2,2,3,4,3,1,-3,-3,1,1,-3,-3,1,-3,1,-3,-3,1,-2,-3,-3,-3,-3,-3,-2,1,-3,1,-3,4,4,4,3,2,2,2,3,4,4,4,4,4,4,3,4,2,2,2,3,3,3,3,4,3,3,4,4,4,4,4,2,4,3,4,2,4,3,4,4,4,3,2,4
2,19,1,5,2,2,2,2,2,4,2,3,2,4,4,3,3,4,3,3,2,4,2,3,4,4,4,4,2,4,4,1,-2,-3,1,1,-3,-3,-2,1,-3,-2,-2,-3,-2,-1,-2,1,-3,1,-2,2,-2,1,-2,4,4,4,4,4,2,2,4,4,4,4,4,4,4,2,3,2,2,2,4,3,4,3,4,4,3,4,3,3,3,4,2,4,4,2,4,3,3,3,4,4,2,4,4
2,22,2,5,2,2,3,2,5,2,2,2,2,5,5,5,2,3,4,4,2,2,2,3,2,3,4,5,3,5,5,1,1,1,-3,1,2,-1,1,1,1,-3,-3,-3,-3,-3,-3,-3,-3,1,-3,1,-3,1,-3,5,4,5,3,4,2,1,5,4,5,4,3,5,5,5,3,2,1,3,5,3,4,5,3,2,5,5,5,5,5,5,3,4,5,3,5,5,5,5,3,5,3,3,3
2,20,2,5,2,1,2,2,4,2,3,2,4,4,3,3,2,3,4,4,4,4,2,4,1,4,4,3,4,4,4,2,-3,-2,1,-3,1,-3,-3,-3,-3,-2,1,-3,1,-3,1,-2,-3,-3,-3,2,-2,1,-2,4,4,3,4,4,2,1,1,2,4,4,3,4,4,2,4,4,2,3,3,2,3,2,3,4,4,4,3,3,3,4,2,3,4,4,2,4,3,3,4,3,3,2,3
2,22,1,5,3,3,3,2,2,3,1,3,3,4,4,4,1,2,2,2,2,3,2,2,2,3,2,3,1,4,3,1,-3,1,1,-3,2,1,3,1,2,1,1,3,1,-3,2,1,-2,1,-3,1,-3,1,-3,3,3,2,3,4,3,2,4,2,2,2,2,3,3,4,4,4,4,4,4,3,4,2,4,3,4,3,2,3,3,4,2,4,4,4,4,2,3,4,3,3,3,3,4
2,20,2,5,2,2,2,2,3,4,2,1,4,4,4,4,3,4,4,4,2,4,2,4,2,3,3,2,3,4,4,2,-3,-3,-2,-2,-3,-3,1,1,1,-3,-3,-3,-3,-3,1,-3,1,1,1,2,-3,1,-3,4,4,3,2,4,2,2,4,4,4,2,3,4,4,4,4,4,4,5,4,4,4,4,2,2,2,3,2,4,4,4,4,4,4,4,2,3,3,3,4,4,4,4,2
2,22,2,7,3,2,3,2,4,4,3,3,4,4,5,4,2,4,2,3,2,4,2,3,4,2,4,4,4,5,5,2,-1,-2,1,3,-3,-1,1,3,1,-3,-1,-3,-2,-3,-3,-2,2,3,1,3,-3,3,-1,5,5,4,5,5,2,2,2,1,5,3,5,5,5,4,2,2,1,2,4,3,3,4,3,2,3,3,4,3,3,5,2,3,4,3,4,4,4,4,4,4,2,2,2
2,22,1,5,2,2,2,2,1,2,2,2,2,4,4,4,2,4,4,2,2,2,2,2,4,3,4,4,4,4,4,2,-2,-3,-3,2,-3,-2,-3,-3,1,-3,-3,-3,-3,-3,-3,1,1,1,1,1,-2,1,-2,4,4,4,4,3,4,3,2,3,4,4,4,4,4,2,3,3,2,2,4,3,4,3,4,4,4,4,4,3,4,4,3,4,4,2,1,4,4,4,4,4,2,3,3
